Reg.code;Label;FO;Retail.Vodka.2011.ps;Rural.2011;Wage.ps.2011;Injury.2011
1000;Российская Федерация;NA;10,7;26,1;20755;92,8
1001;Центральный федеральный округ;ЦФО;12,1;18,4;27091;85,8
31;Белгородская область;ЦФО;7,2;33,6;18800;86
32;Брянская область;ЦФО;11,4;30,8;15348;100,9
33;Владимирская область;ЦФО;12,1;22,4;14312;93,1
36;Воронежская область;ЦФО;8,1;34,1;15871;55,9
37;Ивановская область;ЦФО;12;19;13006;95,6
40;Калужская область;ЦФО;11,4;24,1;17557;64,5
44;Костромская область;ЦФО;12,7;29,8;14823;94,3
46;Курская область;ЦФО;8,3;34,1;16387;71,5
48;Липецкая область;ЦФО;9;36,1;16811;95,6
50;Московская область;ЦФО;12,6;19,9;25605;79
57;Орловская область;ЦФО;8,6;34,3;14824;97,4
62;Рязанская область;ЦФО;8,5;29;14788;91,4
67;Смоленская область;ЦФО;11,8;27,4;15969;78,4
68;Тамбовская область;ЦФО;8,4;41,2;15151;55,8
69;Тверская область;ЦФО;14,7;25,1;14943;93,2
71;Тульская область;ЦФО;9,4;21;16975;63,4
76;Ярославская область;ЦФО;13;18,1;15509;118,7
77;г. Москва;ЦФО;14,8;NA;47319;95
1002;Северо-Западный федеральный округ;СЗФО;13;16,3;21156;98,9
10;Республика Карелия;СЗФО;18,7;21,6;17543;118,2
11;Республика Коми;СЗФО;16,4;22,8;23897;108,5
29;Архангельская область;СЗФО;16,2;23,8;21455;109,3
83;Ненецкий автономный округ;СЗФО;23,8;30,9;54632;NA
35;Вологодская область;СЗФО;13,6;28,8;15638;98,4
39;Калининградская область;СЗФО;14,2;22,5;16880;58,1
47;Ленинградская область;СЗФО;16,4;34,6;15932;47,8
51;Мурманская область;СЗФО;12,3;7,3;25303;112,4
53;Новгородская область;СЗФО;13,2;29,4;16981;99,5
60;Псковская область;СЗФО;15,1;29,8;14185;84,7
78;г. Санкт-Петербург;СЗФО;8,8;NA;25995;117,6
1003;Южный федеральный округ;ЮФО;6,1;37,5;16584;79,4
1;Республика Адыгея;ЮФО;6,8;53,1;14272;82,6
8;Республика Калмыкия;ЮФО;2,8;55,6;8829;44,4
23;Краснодарский край;ЮФО;6,3;46,7;18796;78,3
30;Астраханская область;ЮФО;8,7;33,3;16032;71,7
34;Волгоградская область;ЮФО;6,4;23,9;14519;75,5
61;Ростовская область;ЮФО;5,1;32,5;16010;87,1
1004;Северо-Кавказский федеральный округ;СКФО;4,4;50,8;15050;64,7
5;Республика Дагестан;СКФО;7,9;54,9;18278;80
6;Республика Ингушетия;СКФО;0;60,8;11562;66,8
7;Кабардино-Балкарская Республика;СКФО;2,7;45,7;12636;61,4
9;Карачаево-Черкесская Республика;СКФО;2;56,9;11742;36,9
15;Республика Северная Осетия - Алания;СКФО;3,3;36,1;13757;69,7
20;Чеченская Республика;СКФО;0;65,1;14026;42,2
26;Ставропольский край;СКФО;4,8;42,6;14440;63,2
1005;Приволжский федеральный округ;ПФО;10,7;28,9;17282;102,3
2;Республика Башкортостан;ПФО;10,7;39,2;19030;121,6
12;Республика Марий Эл;ПФО;12,1;36,2;11328;109,6
13;Республика Мордовия;ПФО;10,6;39;11948;74,5
16;Республика Татарстан;ПФО;13,1;24,3;20223;102,5
18;Удмуртская Республика;ПФО;13,4;31,1;14452;116,3
21;Чувашская Республика;ПФО;14,7;40,6;12083;109,4
59;Пермский край;ПФО;11,3;25,1;21307;116,3
43;Кировская область;ПФО;14,9;25,5;14675;99,8
52;Нижегородская область;ПФО;11;21;18337;94,9
56;Оренбургская область;ПФО;6,4;40,4;14892;93
58;Пензенская область;ПФО;8,3;32,4;14171;79,6
